qualsgroup,location,count
6,A10514C1C,4477
X,A10514C4C,3243
1,A10107S1S,4956
X,A10517S1S,9206
5,A10207C1C,2088
X,E06000048,7371
Y,E06000001,2206
6,A10103S1S,8668
4,B11107S1S,4592
Y,A10514S2S,8430
3,A10317S1S,3279
3,A10103C1C,6994
4,A10501S1S,9058
3,A10505S2S,4404
Y,A10512S1S,3025
6,A10514C2C,2146
4,A10505C2C,7521
6,A10101S2S,1523
5,A10507S1S,8958
Y,E06000047,8207
3,G11210S1S,2345
4,A10203C1C,4273
3,A10110S1S,4571
4,A10514C3C,1961
Y,A10108S1S,4435
6,A10504S1S,9918
4,E06000003,7457
5,E06000002,8888
Y,A10403S1S,267
1,A10511S1S,3950
3,A10207S1S,7704
5,A10204C2C,2159
4,A10204C3C,16
4,A10309S1S,3662
5,A10104S1S,3838
4,A10102C1C,7816
X,A10105C1C,2917
1,A10514S1S,3135
6,A10513C1C,5864
Y,A10517S1S,1392
2,E08000024,7614
X,E06000001,1520
Y,E06000048,2401
2,A10310C1C,6487
2,A10203S1S,685
6,A10519S1S,248
Y,A10514C4C,3755
5,A10304S1S,5169
4,A10514S1S,7438
2,E12000001,8830
2,A10103C3C,1837
1,A10102C1C,3654
1,A10309S1S,1460
5,A10211S1S,2484
Y,E08000023,8282
1,A10204C3C,6517
4,A10511S1S,4051
5,A10110C1C,762
1,E06000003,2071
2,A10516S1S,8816
X,A10512S1S,3798
1,A10514C3C,8025
5,A10513C2C,6245
2,A10505C1C,3298
1,A10203C1C,9787
5,A10204S1S,2163
3,A10105S1S,8559
5,A10209C1C,1241
3,A10102S1S,8435
X,E06000047,9055
1,A10505C2C,8818
X,A10403S1S,6391
6,A10513S1S,2838
X,A10108S1S,5514
6,A10109C1C,9296
1,B11107S1S,5954
6,A10313S1S,5499
4,A10107S1S,786
Y,A10105C1C,8925
3,A10103S2S,2321
X,A10508S1S,102
X,A10205S1S,8494
Y,A10204SAS,7054
1,A10207C1C,3972
5,A10107S1S,2377
2,A10504S1S,8172
4,A10209C1C,3783
X,A10519C1C,9476
1,A10507S1S,1455
2,A10513C1C,3299
1,A10204C2C,4991
4,A10110C1C,40
5,A10511S1S,250
1,D10108S2S,4780
Y,E06000004,6335
1,E06000002,4553
2,A10514C1C,5183
4,A10513C2C,3289
Y,X99999X1X,9617
4,A10204S1S,4789
Y,E06000005,8321
X,D10109S1S,9331
2,A10103S1S,6312
X,A10204SBS,6106
X,A10108C1C,2676
Y,A10204C1C,513
4,A10304S1S,2115
5,A10514S1S,7966
3,A10106S1S,8742
2,A10514C2C,8320
Y,A10107S2S,7494
Y,E08000021,8600
1,A10104S1S,6954
X,A10311C1C,3502
4,A10211S1S,8934
5,A10204C3C,9148
6,A10315S1S,7088
1,A10211S1S,9172
5,A10309S1S,8220
3,A10109S1S,4793
5,A10102C1C,7994
1,A10304S1S,8253
3,E08000022,9765
Y,A10508S1S,5060
2,A10513S1S,2003
X,A10204SAS,834
2,A10109C1C,9563
Y,A10519C1C,7941
1,A10204S1S,9605
5,A10203C1C,790
1,A10513C2C,9076
5,A10514C3C,6415
5,E06000003,7375
4,E06000002,4050
2,A10103C2C,1650
2,A10313S1S,2104
4,A10204C2C,4259
6,E12000001,6823
X,E06000004,5166
5,A10501S1S,2215
2,A10519S1S,5452
6,A10203S1S,8802
3,A10209C2C,8604
6,A10310C1C,6026
6,E08000024,3293
5,A10505C2C,3103
Y,D10109S1S,6256
X,E06000005,6614
Y,A10204SBS,453
4,A10507S1S,9082
X,X99999X1X,746
3,A10203C2C,7986
6,A10103C3C,7413
1,A10209C1C,2328
3,A10107C1C,2259
6,A10516S1S,2536
4,A10207C1C,8408
X,A10204C1C,8407
Y,A10108C1C,7205
Y,A10311C1C,9512
5,B11107S1S,982
X,E08000021,4164
3,A10102S2S,9799
6,A10505C1C,4565
X,A10514C3C,8311
X,E06000003,3070
1,A10303S1S,2156
1,A10512S1S,5711
X,A10102C1C,3530
1,A10514S2S,5016
X,A10204C3C,2537
X,A10309S1S,7976
2,A10110S1S,7284
1,E06000001,7848
5,A10204SAS,4057
Y,A10107S1S,8273
4,A10105C1C,1243
2,G11210S1S,6888
6,A10103S2S,2932
4,A10517S1S,8164
5,A10204C1C,9947
4,E06000048,2266
4,A10514C4C,8133
5,E08000021,8768
2,A10505S2S,2980
4,E08000023,1314
X,B11107S1S,1170
6,A10106S1S,9877
Y,A10511S1S,2738
1,A10403S1S,920
5,E06000004,9617
X,A10501S1S,4778
2,A10317S1S,211
5,X99999X1X,9104
4,A10209C3C,2113
X,A10505C2C,3859
5,E06000005,8823
1,E06000047,5733
4,E06000047,5199
Y,A10203C1C,1584
5,A10519C1C,4405
Y,A10514C3C,8844
1,A10209C3C,2154
4,A10108S1S,8152
Y,E06000003,8572
4,A10403S1S,8120
Y,A10204C3C,3724
1,E08000023,5053
Y,A10309S1S,44
Y,A10102C1C,1361
6,E08000022,4901
2,A10102S1S,1482
3,A10315S1S,2006
1,A10514C4C,5608
5,A10508S1S,3574
1,E06000048,5050
5,A10205S1S,1959
1,A10517S1S,3511
6,A10109S1S,7662
X,A10514S1S,7676
2,A10105S1S,7139
1,A10105C1C,1086
5,A10108C1C,7884
4,E06000001,4084
3,A10505C1C,7211
6,A10102S2S,5783
5,A10311C1C,879
4,A10514S2S,6332
6,A10107C1C,9204
Y,A10501S1S,6759
2,D10109S2S,8758
4,A10512S1S,5880
3,A10103C3C,7403
6,A10203C2C,9263
X,A10511S1S,2977
6,A10209C2C,242
3,A10203S1S,1662
5,D10109S1S,6634
Y,A10505C2C,9518
3,E12000001,382
5,A10204SBS,6740
6,E08000020,5678
3,A10310C1C,3969
3,E08000024,6290
5,A10303S1S,9019
X,A10110C1C,2424
3,A10514C2C,9881
4,D10109S1S,6154
2,A10106S1S,7977
6,A10505S2S,5090
4,A10204SBS,3361
Y,A10507S1S,1536
X,A10513C2C,8410
X,A10204S1S,3396
6,A10317S1S,3133
2,A10505S1S,9914
X,A10304S1S,8537
3,A10103S1S,279
1,A10204SAS,7814
6,A10103C1C,5009
5,E06000001,3425
4,A10108C1C,5846
5,A10514S2S,2106
3,A10513C1C,4723
1,E08000021,5566
1,A10107S2S,3254
4,A10205S1S,8997
1,A10204C1C,1478
4,A10508S1S,872
5,E06000047,919
1,E06000005,37
3,A10504S1S,4900
4,A10519C1C,7344
6,A10207S1S,1151
1,X99999X1X,6459
2,A10103S2S,3061
5,A10108S1S,204
1,E06000004,1464
Y,E06000002,7506
6,G11210S1S,8424
Y,D10108S2S,6038
5,A10403S1S,9085
6,A10110S1S,5302
Y,A10204C2C,7499
2,A10102S2S,3590
Y,A10110C1C,9079
4,E06000004,7871
6,A10105S1S,9587
Y,A10513C2C,7805
4,X99999X1X,2922
X,A10507S1S,9040
Y,A10204S1S,6619
1,A10519C1C,209
4,E06000005,2457
2,A10107C1C,8541
2,A10203C2C,4811
X,A10207C1C,1634
5,E06000048,246
1,A10508S1S,4224
4,A10204C1C,4986
1,A10205S1S,4672
Y,A10304S1S,6195
5,A10514C4C,8708
4,A10107S2S,3051
6,D10109S2S,1865
4,E08000021,7346
2,E08000020,4030
5,E08000023,9107
Y,A10211S1S,5959
2,A10209C2C,2992
3,A10519S1S,629
X,A10104S1S,1204
3,A10313S1S,6923
3,A10103C2C,5324
1,A10311C1C,2055
1,A10108C1C,3139
4,A10204SAS,6590
5,A10105C1C,8664
3,A10109C1C,1886
Y,A10209C1C,8228
3,A10513S1S,6429
2,E08000022,8443
1,A10204SBS,272
1,D10109S1S,3015
X,D10108S2S,6923
2,A10109S1S,321
X,A10204C2C,3744
6,A10102S1S,1573
3,E06000005,6702
1,A10504S1S,1463
Y,A10505S1S,5379
2,A10207C1C,5222
6,A10511S1S,3193
3,X99999X1X,4232
3,E06000004,1947
X,A10209C2C,5797
X,E08000020,9211
4,A10519S1S,5745
6,A10514S1S,2573
3,E08000021,5519
X,A10102S2S,497
1,A10513C1C,1405
X,A10107C1C,8688
Y,A10106S1S,7988
3,A10107S2S,9961
3,A10204C1C,8923
1,A10103S1S,4117
4,A10109C1C,2647
X,E08000022,6349
3,A10204SAS,837
Y,A10103S2S,3951
1,A10514C1C,9629
6,A10107S1S,1015
2,E06000002,6791
4,A10103C2C,9959
2,D10108S2S,8726
X,A10109S1S,822
2,A10204C2C,3416
4,A10313S1S,1167
1,A10101S2S,9434
2,A10104S1S,5398
4,A10513S1S,3728
5,E08000024,1550
5,A10310C1C,5987
1,A10513S1S,2698
X,A10505S1S,4329
4,A10514C2C,2181
3,D10109S1S,9786
5,A10203S1S,8643
6,A10501S1S,612
5,E12000001,1755
5,A10103C3C,2692
Y,E08000020,5330
4,A10101S2S,5919
2,A10211S1S,3221
Y,A10209C2C,7172
6,A10505C2C,7658
Y,A10102S2S,8150
1,A10313S1S,7707
2,A10110C1C,7789
1,A10103C2C,6516
5,A10516S1S,8733
4,A10514C1C,7969
5,A10505C1C,984
2,A10204S1S,8767
3,A10108C1C,9926
1,A10109C1C,127
Y,A10107C1C,6699
X,A10106S1S,1997
4,A10103S1S,6535
6,B11107S1S,5358
3,A10508S1S,5355
6,A10102C1C,430
2,A10209C1C,3176
3,A10205S1S,6867
Y,E08000022,325
6,A10309S1S,3834
5,A10315S1S,4208
4,A10513C1C,1725
Y,A10109S1S,3209
X,A10103S2S,2111
6,A10514C3C,403
6,A10203C1C,5034
3,A10519C1C,9635
4,A10504S1S,1026
6,E06000003,4838
3,A10403S1S,2678
Y,A10207S1S,2042
3,A10108S1S,6927
Y,A10110S1S,2412
6,A10204C2C,5011
6,D10108S2S,512
6,E06000002,1398
2,A10107S1S,6484
3,E06000047,5683
X,A10102S1S,954
Y,G11210S1S,9689
5,A10504S1S,2083
6,A10104S1S,565
4,A10315S1S,9208
5,A10513C1C,8614
2,A10511S1S,507
6,A10207C1C,3679
Y,A10103C1C,2528
X,D10109S2S,200
3,A10514S2S,7508
Y,A10317S1S,2029
5,A10514C1C,4093
4,A10516S1S,9634
5,A10103S1S,7429
4,A10310C1C,5784
4,E08000024,1273
4,A10203S1S,2788
X,A10105S1S,8255
2,A10514S1S,1440
4,E12000001,4
4,A10103C3C,4386
6,A10507S1S,6187
5,A10101S2S,6614
Y,A10505S2S,4764
3,A10303S1S,8605
3,A10512S1S,4796
2,A10204C3C,2551
2,A10309S1S,2296
X,A10207S1S,3727
2,A10102C1C,2012
1,A10103C3C,6827
X,G11210S1S,1375
Y,A10102S1S,6184
1,E12000001,9433
1,A10203S1S,1182
1,A10310C1C,4324
1,E08000024,8019
X,A10110S1S,5291
3,A10105C1C,4462
5,A10109C1C,4448
2,A10203C1C,2306
1,A10505C1C,481
2,A10514C3C,4065
1,A10516S1S,3357
2,E06000003,8624
5,A10313S1S,3174
3,E08000023,9908
2,A10501S1S,6104
6,A10304S1S,6305
5,A10519S1S,294
X,A10317S1S,7005
X,A10103C1C,2753
1,A10315S1S,3527
2,A10505C2C,7885
3,A10514C4C,426
6,A10211S1S,7610
3,A10517S1S,8748
Y,A10105S1S,2129
3,A10209C3C,1389
6,A10110C1C,6469
2,B11107S1S,1310
X,A10505S2S,2549
6,A10204S1S,13
4,E08000022,9114
1,A10106S1S,8321
X,A10109C1C,4483
Y,A10513C1C,7120
4,A10109S1S,2298
3,A10104S1S,1230
X,A10313S1S,831
X,A10103C2C,5530
