agegroup5yr,location,count
,A10101S2S,107426
6,A10101S2S,5248
18,A10101S2S,731
19,A10101S2S,1169
7,A10101S2S,5990
14,A10101S2S,4098
2,A10101S2S,8968
10,A10101S2S,9339
3,A10101S2S,2979
8,A10101S2S,6173
17,A10101S2S,6783
13,A10101S2S,8841
4,A10101S2S,7009
1,A10101S2S,2495
15,A10101S2S,5821
12,A10101S2S,6090
11,A10101S2S,9857
16,A10101S2S,4710
5,A10101S2S,4752
9,A10101S2S,6373
,A10102C1C,104849
4,A10102C1C,7941
13,A10102C1C,7199
17,A10102C1C,2393
15,A10102C1C,4927
1,A10102C1C,1434
12,A10102C1C,2726
9,A10102C1C,4760
5,A10102C1C,7936
11,A10102C1C,7609
16,A10102C1C,9724
14,A10102C1C,7956
7,A10102C1C,7070
19,A10102C1C,1402
6,A10102C1C,1222
18,A10102C1C,8347
3,A10102C1C,4748
10,A10102C1C,8071
2,A10102C1C,2261
8,A10102C1C,7123
,A10102S1S,102540
8,A10102S1S,8365
10,A10102S1S,6178
3,A10102S1S,374
2,A10102S1S,2972
14,A10102S1S,3189
19,A10102S1S,1090
7,A10102S1S,2292
6,A10102S1S,8278
18,A10102S1S,4685
11,A10102S1S,8662
16,A10102S1S,435
5,A10102S1S,6102
9,A10102S1S,4199
12,A10102S1S,9226
15,A10102S1S,5889
1,A10102S1S,8305
4,A10102S1S,7709
17,A10102S1S,6875
13,A10102S1S,7715
,A10102S2S,99641
8,A10102S2S,818
14,A10102S2S,5496
7,A10102S2S,2506
19,A10102S2S,9974
6,A10102S2S,8367
18,A10102S2S,2887
3,A10102S2S,1752
10,A10102S2S,5883
2,A10102S2S,6353
12,A10102S2S,9586
9,A10102S2S,5213
5,A10102S2S,1353
16,A10102S2S,9354
11,A10102S2S,2928
4,A10102S2S,5631
13,A10102S2S,475
17,A10102S2S,8376
15,A10102S2S,6406
1,A10102S2S,6283
,A10103C1C,96048
8,A10103C1C,9671
2,A10103C1C,2114
10,A10103C1C,5660
3,A10103C1C,4848
6,A10103C1C,4261
18,A10103C1C,9716
7,A10103C1C,7567
19,A10103C1C,3221
14,A10103C1C,4871
5,A10103C1C,7193
11,A10103C1C,887
16,A10103C1C,3807
9,A10103C1C,4156
12,A10103C1C,4598
1,A10103C1C,1862
15,A10103C1C,6245
17,A10103C1C,5109
13,A10103C1C,7402
4,A10103C1C,2860
,A10103C2C,85262
14,A10103C2C,8812
19,A10103C2C,3411
7,A10103C2C,5415
6,A10103C2C,8153
18,A10103C2C,4067
10,A10103C2C,1637
3,A10103C2C,1627
2,A10103C2C,3894
8,A10103C2C,6899
4,A10103C2C,1980
17,A10103C2C,5592
13,A10103C2C,72
15,A10103C2C,6319
1,A10103C2C,4632
12,A10103C2C,3619
11,A10103C2C,3189
16,A10103C2C,4474
5,A10103C2C,5281
9,A10103C2C,6189
,A10103C3C,81505
3,A10103C3C,4585
10,A10103C3C,4371
2,A10103C3C,9032
14,A10103C3C,4527
19,A10103C3C,7506
7,A10103C3C,2106
18,A10103C3C,3245
6,A10103C3C,2497
8,A10103C3C,8022
15,A10103C3C,33
1,A10103C3C,329
4,A10103C3C,1737
13,A10103C3C,6963
17,A10103C3C,1159
9,A10103C3C,6233
11,A10103C3C,3073
16,A10103C3C,4499
5,A10103C3C,2489
12,A10103C3C,9099
,A10103S1S,90813
6,A10103S1S,1775
18,A10103S1S,2614
19,A10103S1S,366
7,A10103S1S,2572
14,A10103S1S,7816
2,A10103S1S,5353
3,A10103S1S,1691
10,A10103S1S,6549
8,A10103S1S,6859
13,A10103S1S,5830
17,A10103S1S,1978
4,A10103S1S,9616
1,A10103S1S,5049
15,A10103S1S,5946
12,A10103S1S,4040
9,A10103S1S,6543
16,A10103S1S,6453
11,A10103S1S,8412
5,A10103S1S,1351
,A10103S2S,97324
8,A10103S2S,1103
6,A10103S2S,5401
18,A10103S2S,7836
19,A10103S2S,8752
7,A10103S2S,9588
14,A10103S2S,189
2,A10103S2S,6539
10,A10103S2S,5712
3,A10103S2S,5122
12,A10103S2S,6143
11,A10103S2S,1184
16,A10103S2S,1696
5,A10103S2S,7394
9,A10103S2S,8321
17,A10103S2S,2496
13,A10103S2S,5301
4,A10103S2S,171
1,A10103S2S,4664
15,A10103S2S,9712
,A10104S1S,101984
1,A10104S1S,7009
15,A10104S1S,1959
17,A10104S1S,729
13,A10104S1S,3692
4,A10104S1S,4656
5,A10104S1S,7434
16,A10104S1S,8678
11,A10104S1S,9069
9,A10104S1S,9670
12,A10104S1S,635
2,A10104S1S,6064
10,A10104S1S,1688
3,A10104S1S,7302
6,A10104S1S,9070
18,A10104S1S,7268
7,A10104S1S,3244
19,A10104S1S,4379
14,A10104S1S,7563
8,A10104S1S,1875
,A10105C1C,90884
12,A10105C1C,8830
9,A10105C1C,7078
16,A10105C1C,5986
11,A10105C1C,1300
5,A10105C1C,2278
13,A10105C1C,8551
17,A10105C1C,1292
4,A10105C1C,6139
15,A10105C1C,8880
1,A10105C1C,1430
8,A10105C1C,9662
19,A10105C1C,3896
7,A10105C1C,350
14,A10105C1C,5859
18,A10105C1C,8395
6,A10105C1C,4016
2,A10105C1C,3068
3,A10105C1C,2350
10,A10105C1C,1524
,A10105S1S,101725
