typaccom,location,count
6,A10101S2S,5090
2,A10101S2S,7190
3,A10101S2S,677
7,A10101S2S,7453
1,A10101S2S,1308
4,A10101S2S,4362
5,A10101S2S,5801
,A10101S2S,31881
4,A10102C1C,1967
1,A10102C1C,6912
5,A10102C1C,4427
6,A10102C1C,8612
2,A10102C1C,1729
7,A10102C1C,1824
3,A10102C1C,9081
,A10102C1C,34552
7,A10102S1S,4634
3,A10102S1S,6894
2,A10102S1S,1545
6,A10102S1S,5238
5,A10102S1S,3478
4,A10102S1S,2060
,A10102S1S,23849
7,A10102S2S,2532
3,A10102S2S,3533
6,A10102S2S,4353
2,A10102S2S,5681
4,A10102S2S,1993
1,A10102S2S,2919
5,A10102S2S,3738
,A10102S2S,24749
3,A10103C1C,3815
7,A10103C1C,9422
2,A10103C1C,2247
6,A10103C1C,4748
5,A10103C1C,8010
1,A10103C1C,3456
4,A10103C1C,2413
,A10103C1C,34111
6,A10103C2C,3936
2,A10103C2C,7855
3,A10103C2C,949
4,A10103C2C,7274
1,A10103C2C,2010
5,A10103C2C,4661
,A10103C2C,26685
2,A10103C3C,9250
6,A10103C3C,4746
3,A10103C3C,5466
5,A10103C3C,4744
1,A10103C3C,7908
,A10103C3C,32114
6,A10103S1S,7778
2,A10103S1S,4974
3,A10103S1S,556
7,A10103S1S,7145
1,A10103S1S,9556
4,A10103S1S,393
5,A10103S1S,8057
,A10103S1S,38459
3,A10103S2S,3744
7,A10103S2S,5642
2,A10103S2S,5610
1,A10103S2S,2139
4,A10103S2S,8346
5,A10103S2S,6274
,A10103S2S,31755
5,A10104S1S,1238
1,A10104S1S,9352
4,A10104S1S,6430
2,A10104S1S,9066
6,A10104S1S,2427
3,A10104S1S,4306
7,A10104S1S,5818
,A10104S1S,38637
4,A10105C1C,2582
5,A10105C1C,1694
7,A10105C1C,781
3,A10105C1C,9714
6,A10105C1C,5013
2,A10105C1C,7873
,A10105C1C,27657
7,A10105S1S,2880
3,A10105S1S,3390
2,A10105S1S,6517
6,A10105S1S,4754
5,A10105S1S,7648
4,A10105S1S,6869
1,A10105S1S,3581
,A10105S1S,35639
7,A10106S1S,8223
6,A10106S1S,518
2,A10106S1S,8390
1,A10106S1S,9446
4,A10106S1S,1293
5,A10106S1S,8684
,A10106S1S,36554
7,A10107C1C,7509
3,A10107C1C,6813
2,A10107C1C,1998
4,A10107C1C,6712
1,A10107C1C,401
5,A10107C1C,5696
,A10107C1C,29129
1,A10107S1S,5018
4,A10107S1S,9443
5,A10107S1S,1772
3,A10107S1S,3709
7,A10107S1S,4643
,A10107S1S,24585
1,A10107S2S,3238
4,A10107S2S,4353
3,A10107S2S,2256
2,A10107S2S,4630
6,A10107S2S,5660
,A10107S2S,20137
5,A10108C1C,2391
4,A10108C1C,2352
7,A10108C1C,303
3,A10108C1C,6052
2,A10108C1C,3630
,A10108C1C,14728
1,A10108S1S,2842
4,A10108S1S,2409
5,A10108S1S,5996
3,A10108S1S,360
7,A10108S1S,7414
6,A10108S1S,3188
2,A10108S1S,5363
,A10108S1S,27572
6,A10109C1C,3010
7,A10109C1C,3526
4,A10109C1C,7203
,A10109C1C,13739
7,A10109S1S,6397
3,A10109S1S,4925
6,A10109S1S,4020
2,A10109S1S,2163
4,A10109S1S,640
1,A10109S1S,6481
5,A10109S1S,8323
,A10109S1S,32949
5,A10110C1C,6791
4,A10110C1C,4123
1,A10110C1C,2047
2,A10110C1C,2116
6,A10110C1C,9030
7,A10110C1C,5675
3,A10110C1C,26
,A10110C1C,29808
3,A10110S1S,2806
7,A10110S1S,5665
2,A10110S1S,9730
6,A10110S1S,7810
5,A10110S1S,7472
1,A10110S1S,2704
4,A10110S1S,8565
,A10110S1S,44752
4,A10203C1C,3029
1,A10203C1C,772
6,A10203C1C,3109
2,A10203C1C,783
7,A10203C1C,381
3,A10203C1C,3641
,A10203C1C,11715
7,A10203C2C,7819
6,A10203C2C,2679
2,A10203C2C,2743
4,A10203C2C,8345
1,A10203C2C,4018
5,A10203C2C,4491
,A10203C2C,30095
2,A10203S1S,2915
6,A10203S1S,3772
7,A10203S1S,1068
3,A10203S1S,6885
5,A10203S1S,5324
4,A10203S1S,9528
1,A10203S1S,5559
,A10203S1S,35051
5,A10204C1C,2464
1,A10204C1C,4439
4,A10204C1C,370
3,A10204C1C,5512
7,A10204C1C,1838
2,A10204C1C,6342
6,A10204C1C,8707
,A10204C1C,29672
5,A10204C2C,8314
1,A10204C2C,3119
4,A10204C2C,5842
2,A10204C2C,3993
3,A10204C2C,427
7,A10204C2C,3040
,A10204C2C,24735
4,A10204C3C,9172
1,A10204C3C,8425
5,A10204C3C,737
6,A10204C3C,3187
2,A10204C3C,1601
7,A10204C3C,516
3,A10204C3C,7623
,A10204C3C,31261
4,A10204S1S,1925
1,A10204S1S,7922
2,A10204S1S,4443
6,A10204S1S,2819
7,A10204S1S,9515
,A10204S1S,26624
5,A10204SAS,5455
1,A10204SAS,3252
4,A10204SAS,7593
3,A10204SAS,8400
7,A10204SAS,2352
2,A10204SAS,8244
6,A10204SAS,7172
,A10204SAS,42468
4,A10204SBS,4079
1,A10204SBS,8877
7,A10204SBS,4818
2,A10204SBS,3602
6,A10204SBS,4496
,A10204SBS,25872
5,A10205S1S,9690
4,A10205S1S,8517
1,A10205S1S,1202
3,A10205S1S,6955
2,A10205S1S,275
6,A10205S1S,5573
,A10205S1S,32212
5,A10207C1C,6237
1,A10207C1C,5087
4,A10207C1C,6599
2,A10207C1C,2645
6,A10207C1C,6401
3,A10207C1C,3236
,A10207C1C,30205
3,A10207S1S,8125
2,A10207S1S,7789
5,A10207S1S,6347
1,A10207S1S,633
4,A10207S1S,3478
,A10207S1S,26372
5,A10209C1C,3749
4,A10209C1C,284
1,A10209C1C,3616
2,A10209C1C,1369
6,A10209C1C,6518
7,A10209C1C,2294
3,A10209C1C,5681
,A10209C1C,23511
7,A10209C2C,5398
3,A10209C2C,4454
6,A10209C2C,1175
2,A10209C2C,4515
4,A10209C2C,1498
1,A10209C2C,2867
5,A10209C2C,9620
,A10209C2C,29527
4,A10209C3C,9419
1,A10209C3C,7089
7,A10209C3C,4852
3,A10209C3C,9972
6,A10209C3C,3412
2,A10209C3C,6881
,A10209C3C,41625
5,A10211S1S,4764
4,A10211S1S,3957
1,A10211S1S,350
2,A10211S1S,5848
6,A10211S1S,6540
7,A10211S1S,130
3,A10211S1S,7942
,A10211S1S,29531
1,A10303S1S,4783
4,A10303S1S,3865
5,A10303S1S,1372
3,A10303S1S,2096
7,A10303S1S,2345
6,A10303S1S,4582
2,A10303S1S,413
,A10303S1S,19456
5,A10304S1S,9409
4,A10304S1S,6162
1,A10304S1S,3228
2,A10304S1S,1052
6,A10304S1S,8083
7,A10304S1S,2003
3,A10304S1S,9427
,A10304S1S,39364
4,A10309S1S,9754
1,A10309S1S,5824
6,A10309S1S,9366
7,A10309S1S,4442
3,A10309S1S,5203
,A10309S1S,34589
2,A10310C1C,3814
6,A10310C1C,2000
7,A10310C1C,8766
3,A10310C1C,8264
1,A10310C1C,5765
,A10310C1C,28609
5,A10311C1C,6852
4,A10311C1C,8938
1,A10311C1C,5342
7,A10311C1C,5724
3,A10311C1C,9895
2,A10311C1C,5663
6,A10311C1C,4803
,A10311C1C,47217
6,A10313S1S,6488
2,A10313S1S,9622
7,A10313S1S,6212
3,A10313S1S,6272
4,A10313S1S,5487
1,A10313S1S,6394
5,A10313S1S,127
,A10313S1S,40602
2,A10315S1S,6033
6,A10315S1S,8250
7,A10315S1S,3961
3,A10315S1S,8299
5,A10315S1S,1522
4,A10315S1S,4548
1,A10315S1S,1026
,A10315S1S,33639
3,A10317S1S,9363
7,A10317S1S,3994
2,A10317S1S,6604
6,A10317S1S,2789
5,A10317S1S,6388
1,A10317S1S,4054
4,A10317S1S,1318
,A10317S1S,34510
1,A10403S1S,5821
4,A10403S1S,3465
5,A10403S1S,4956
3,A10403S1S,3609
7,A10403S1S,8362
6,A10403S1S,3934
2,A10403S1S,137
,A10403S1S,30284
4,A10501S1S,3666
1,A10501S1S,8841
5,A10501S1S,8201
6,A10501S1S,4825
2,A10501S1S,2848
7,A10501S1S,4532
3,A10501S1S,6232
,A10501S1S,39145
6,A10504S1S,4253
3,A10504S1S,9957
1,A10504S1S,6187
4,A10504S1S,5073
5,A10504S1S,567
,A10504S1S,26037
2,A10505C1C,9664
6,A10505C1C,9131
7,A10505C1C,7656
3,A10505C1C,3915
