ppbroomhuk11,location,count
2,A10101S2S,3683
3,A10101S2S,469
1,A10101S2S,5211
4,A10101S2S,3261
X,A10101S2S,1054
,A10101S2S,13678
4,A10102C1C,1880
1,A10102C1C,3980
X,A10102C1C,9198
2,A10102C1C,2036
3,A10102C1C,5358
,A10102C1C,22452
3,A10102S1S,6970
2,A10102S1S,6679
X,A10102S1S,595
4,A10102S1S,55
1,A10102S1S,2315
,A10102S1S,16614
3,A10102S2S,6760
2,A10102S2S,2123
X,A10102S2S,5307
4,A10102S2S,1039
1,A10102S2S,262
,A10102S2S,15491
3,A10103C1C,4110
2,A10103C1C,772
X,A10103C1C,9636
1,A10103C1C,5913
4,A10103C1C,920
,A10103C1C,21351
2,A10103C2C,1548
3,A10103C2C,351
4,A10103C2C,497
1,A10103C2C,4553
X,A10103C2C,6821
,A10103C2C,13770
2,A10103C3C,6352
3,A10103C3C,2740
4,A10103C3C,7857
1,A10103C3C,1579
X,A10103C3C,6111
,A10103C3C,24639
2,A10103S1S,1911
1,A10103S1S,8947
4,A10103S1S,4695
X,A10103S1S,1819
,A10103S1S,17372
3,A10103S2S,8078
2,A10103S2S,2366
X,A10103S2S,5686
1,A10103S2S,511
4,A10103S2S,3208
,A10103S2S,19849
1,A10104S1S,3179
4,A10104S1S,5834
X,A10104S1S,2922
2,A10104S1S,566
3,A10104S1S,3868
,A10104S1S,16369
X,A10105C1C,6117
4,A10105C1C,9021
1,A10105C1C,8455
3,A10105C1C,3907
2,A10105C1C,5653
,A10105C1C,33153
3,A10105S1S,1187
2,A10105S1S,7985
X,A10105S1S,1105
4,A10105S1S,89
1,A10105S1S,1413
,A10105S1S,11779
3,A10106S1S,813
2,A10106S1S,842
1,A10106S1S,4236
4,A10106S1S,4305
,A10106S1S,10196
3,A10107C1C,95
2,A10107C1C,3352
X,A10107C1C,1967
4,A10107C1C,2299
1,A10107C1C,3152
,A10107C1C,10865
1,A10107S1S,817
4,A10107S1S,266
X,A10107S1S,8509
2,A10107S1S,4523
,A10107S1S,14115
X,A10107S2S,1415
1,A10107S2S,4314
4,A10107S2S,3120
3,A10107S2S,6570
2,A10107S2S,7502
,A10107S2S,22921
X,A10108C1C,8921
4,A10108C1C,7747
1,A10108C1C,5166
3,A10108C1C,7855
,A10108C1C,29689
X,A10108S1S,2678
1,A10108S1S,6865
4,A10108S1S,9175
3,A10108S1S,6675
2,A10108S1S,5088
,A10108S1S,30481
2,A10109C1C,6539
3,A10109C1C,9924
4,A10109C1C,1878
1,A10109C1C,4185
X,A10109C1C,6221
,A10109C1C,28747
3,A10109S1S,2727
2,A10109S1S,2783
X,A10109S1S,5333
4,A10109S1S,2298
1,A10109S1S,3549
,A10109S1S,16690
4,A10110C1C,9293
1,A10110C1C,8106
X,A10110C1C,4487
3,A10110C1C,2336
,A10110C1C,24222
3,A10110S1S,4824
X,A10110S1S,9207
1,A10110S1S,1737
4,A10110S1S,3167
,A10110S1S,18935
4,A10203C1C,9248
1,A10203C1C,5722
X,A10203C1C,9006
2,A10203C1C,5916
3,A10203C1C,689
,A10203C1C,30581
3,A10203C2C,265
2,A10203C2C,5346
X,A10203C2C,6316
4,A10203C2C,8999
1,A10203C2C,3479
,A10203C2C,24405
2,A10203S1S,8153
3,A10203S1S,8859
1,A10203S1S,3681
X,A10203S1S,7956
,A10203S1S,28649
X,A10204C1C,8462
1,A10204C1C,2809
4,A10204C1C,2624
3,A10204C1C,8584
2,A10204C1C,4598
,A10204C1C,27077
1,A10204C2C,4418
4,A10204C2C,7860
X,A10204C2C,1310
2,A10204C2C,2437
3,A10204C2C,7959
,A10204C2C,23984
4,A10204C3C,7377
1,A10204C3C,3393
X,A10204C3C,7807
2,A10204C3C,499
3,A10204C3C,840
,A10204C3C,19916
4,A10204S1S,2850
1,A10204S1S,358
X,A10204S1S,5782
3,A10204S1S,3393
,A10204S1S,12383
X,A10204SAS,2601
4,A10204SAS,7917
3,A10204SAS,1223
2,A10204SAS,9196
,A10204SAS,20937
X,A10204SBS,8817
4,A10204SBS,1637
1,A10204SBS,6584
3,A10204SBS,1635
2,A10204SBS,167
,A10204SBS,18840
X,A10205S1S,6954
4,A10205S1S,3828
1,A10205S1S,4960
3,A10205S1S,7107
2,A10205S1S,7184
,A10205S1S,30033
1,A10207C1C,1895
4,A10207C1C,1239
X,A10207C1C,3870
2,A10207C1C,781
3,A10207C1C,5325
,A10207C1C,13110
3,A10207S1S,8445
2,A10207S1S,4351
X,A10207S1S,9627
,A10207S1S,22423
4,A10209C1C,3993
1,A10209C1C,1171
X,A10209C1C,2216
2,A10209C1C,6218
3,A10209C1C,2808
,A10209C1C,16406
2,A10209C2C,8187
X,A10209C2C,7180
1,A10209C2C,6118
,A10209C2C,21485
X,A10209C3C,490
4,A10209C3C,6
1,A10209C3C,4961
3,A10209C3C,4682
2,A10209C3C,704
,A10209C3C,10843
4,A10211S1S,1231
1,A10211S1S,9806
X,A10211S1S,8281
2,A10211S1S,637
3,A10211S1S,6970
,A10211S1S,26925
X,A10303S1S,760
1,A10303S1S,6581
4,A10303S1S,1119
3,A10303S1S,8943
2,A10303S1S,8843
,A10303S1S,26246
4,A10304S1S,6081
X,A10304S1S,3602
2,A10304S1S,4073
3,A10304S1S,9471
,A10304S1S,23227
4,A10309S1S,1508
1,A10309S1S,291
X,A10309S1S,1501
2,A10309S1S,8403
3,A10309S1S,3702
,A10309S1S,15405
2,A10310C1C,8723
3,A10310C1C,471
4,A10310C1C,4522
1,A10310C1C,6829
X,A10310C1C,8226
,A10310C1C,28771
X,A10311C1C,2382
4,A10311C1C,326
3,A10311C1C,4321
2,A10311C1C,8309
,A10311C1C,15338
2,A10313S1S,791
3,A10313S1S,8267
4,A10313S1S,4514
1,A10313S1S,6189
X,A10313S1S,5161
,A10313S1S,24922
2,A10315S1S,4067
3,A10315S1S,8782
4,A10315S1S,7161
1,A10315S1S,3303
X,A10315S1S,3982
,A10315S1S,27295
3,A10317S1S,4014
2,A10317S1S,5628
X,A10317S1S,6824
1,A10317S1S,7662
4,A10317S1S,8174
,A10317S1S,32302
X,A10403S1S,741
1,A10403S1S,159
4,A10403S1S,2415
3,A10403S1S,8243
2,A10403S1S,8888
,A10403S1S,20446
4,A10501S1S,5433
1,A10501S1S,6475
X,A10501S1S,4385
2,A10501S1S,6454
3,A10501S1S,4627
,A10501S1S,27374
2,A10504S1S,8124
3,A10504S1S,7412
1,A10504S1S,4677
4,A10504S1S,9533
X,A10504S1S,3139
,A10504S1S,32885
2,A10505C1C,3009
3,A10505C1C,5199
4,A10505C1C,2509
1,A10505C1C,1125
X,A10505C1C,9190
,A10505C1C,21032
4,A10505C2C,7817
1,A10505C2C,5377
X,A10505C2C,6162
2,A10505C2C,7885
,A10505C2C,27241
3,A10505S1S,3074
2,A10505S1S,3887
X,A10505S1S,7830
1,A10505S1S,6218
4,A10505S1S,8031
,A10505S1S,29040
3,A10505S2S,5239
2,A10505S2S,2292
X,A10505S2S,103
1,A10505S2S,2045
4,A10505S2S,1955
,A10505S2S,11634
1,A10507S1S,2124
4,A10507S1S,6936
X,A10507S1S,5079
2,A10507S1S,7391
3,A10507S1S,9542
,A10507S1S,31072
4,A10508S1S,6196
1,A10508S1S,3269
3,A10508S1S,214
2,A10508S1S,576
,A10508S1S,10255
1,A10511S1S,9821
4,A10511S1S,976
X,A10511S1S,5219
2,A10511S1S,524
3,A10511S1S,5000
,A10511S1S,21540
X,A10512S1S,3493
1,A10512S1S,3502
4,A10512S1S,3911
2,A10512S1S,3698
,A10512S1S,14604
2,A10513C1C,2835
3,A10513C1C,414
4,A10513C1C,2121
X,A10513C1C,4038
,A10513C1C,9408
1,A10513C2C,9085
X,A10513C2C,3453
2,A10513C2C,5080
,A10513C2C,17618
2,A10513S1S,9227
3,A10513S1S,4220
1,A10513S1S,5892
X,A10513S1S,3833
,A10513S1S,23172
2,A10514C1C,9576
3,A10514C1C,9488
4,A10514C1C,8460
X,A10514C1C,6751
,A10514C1C,34275
2,A10514C2C,8358
3,A10514C2C,4311
1,A10514C2C,9858
4,A10514C2C,9738
X,A10514C2C,9919
,A10514C2C,42184
4,A10514C3C,3241
1,A10514C3C,2787
X,A10514C3C,7943
2,A10514C3C,6539
3,A10514C3C,5031
,A10514C3C,25541
X,A10514C4C,9525
1,A10514C4C,441
3,A10514C4C,5995
2,A10514C4C,1355
,A10514C4C,17316
1,A10514S1S,6299
4,A10514S1S,5096
X,A10514S1S,9707
2,A10514S1S,7468
3,A10514S1S,7507
,A10514S1S,36077
X,A10514S2S,8431
1,A10514S2S,5073
4,A10514S2S,6703
3,A10514S2S,7247
2,A10514S2S,2748
,A10514S2S,30202
2,A10516S1S,7568
3,A10516S1S,2726
4,A10516S1S,2916
1,A10516S1S,5880
X,A10516S1S,9514
,A10516S1S,28604
X,A10517S1S,1685
4,A10517S1S,7956
1,A10517S1S,191
3,A10517S1S,2404
2,A10517S1S,9143
,A10517S1S,21379
X,A10519C1C,6739
1,A10519C1C,1953
3,A10519C1C,5929
2,A10519C1C,7644
,A10519C1C,22265
2,A10519S1S,1594
3,A10519S1S,1878
4,A10519S1S,76
1,A10519S1S,9704
X,A10519S1S,8694
,A10519S1S,21946
4,B11107S1S,3952
1,B11107S1S,8119
X,B11107S1S,8502
2,B11107S1S,7966
3,B11107S1S,106
,B11107S1S,28645
1,D10108S2S,3931
4,D10108S2S,9330
X,D10108S2S,9475
2,D10108S2S,4462
3,D10108S2S,1804
,D10108S2S,29002
X,D10109S1S,2100
1,D10109S1S,412
3,D10109S1S,8113
2,D10109S1S,907
,D10109S1S,11532
3,D10109S2S,4457
2,D10109S2S,4407
X,D10109S2S,1415
4,D10109S2S,7962
1,D10109S2S,3370
,D10109S2S,21611
1,E06000001,8766
4,E06000001,4660
3,E06000001,6210
2,E06000001,8385
,E06000001,28021
1,E06000002,5175
4,E06000002,757
X,E06000002,4517
2,E06000002,3344
3,E06000002,7584
,E06000002,21377
4,E06000003,3393
1,E06000003,902
X,E06000003,7361
3,E06000003,500
,E06000003,12156
1,E06000004,5354
4,E06000004,8864
3,E06000004,9777
2,E06000004,2345
,E06000004,26340
X,E06000005,4865
1,E06000005,2005
4,E06000005,4573
3,E06000005,2065
2,E06000005,8219
,E06000005,21727
X,E06000047,6358
1,E06000047,6339
4,E06000047,5136
3,E06000047,4224
2,E06000047,1756
,E06000047,23813
X,E06000048,3999
