workbook name,S0 D4 Example Spreadsheets.xlsx,,,,,,,,,,,,,
worksheet name,Construction 1,,,,,,,,,,,,,
table code,BUS.CON.001,,,,,,,,,,,,,
table name,"Table 1a: Chained volume measure of construction output in Great Britain: 2011 prices, seasonally adjusted index numbers - by sector",,,,,,,,,,,,,
Series Ids,New Housing Public,New Housing Private,Total Housing,Other New Work Infras- tructure,Other New Work Excluding Infrastructure Public,Other New Work Excluding Infrastructure Private Industrial,Other New Work Excluding Infrastructure Private Commercial,All New Work,Repair and Maintenance Housing  Public,Repair and Maintenance Housing  Private,Repair and Maintenance Housing  Total,Repair and Maintenance Non Housing R&M,All Repair and Maintenance,All Work
Series Names,New Housing Public,New Housing Private,Total  Housing,Other New Work Infras- tructure,Other New Work Excluding Infrastructure Public,Other New Work Excluding Infrastructure Private Industrial,Other New Work Excluding Infrastructure Private Commercial,All   New   Work,Repair and Maintenance Housing  Public,Repair and Maintenance Housing  Private,Repair and Maintenance Housing  Total,Repair and Maintenance Non Housing R&M,All Repair and Maintenance,All   Work
1997,38.5,91.9,79.6,74.3,37.1,213.3,85.8,78.3,116.9,116,117.2,89.2,101.8,86.2
1998,31.2,92.8,78.6,72.3,39.1,217.4,93,80.4,109.2,118.4,115.5,90.2,101.5,87.5
1999,27,83.5,70.5,70.3,44.1,224.3,104.2,82.8,104.8,116.9,112.8,89.7,100,88.6
2000,33.9,93.3,79.6,65.9,41.7,200.1,104.9,82.9,101.4,117.4,111.7,94.4,102.1,89.4
2001,34.7,87.1,75,70.6,42.1,204.5,104.2,82.9,95.9,122.6,112.4,103,107.1,91
2002,39.2,94.9,82,79.8,53.3,162.2,107.6,88,91,132.7,116.2,109.8,112.5,96.2
2003,44.7,118.5,101.5,75.3,66.9,171.3,103.7,93.3,102.9,129.7,119.4,112.9,115.6,100.9
2004,53.7,143.9,123.1,65.7,75.1,176.4,114.4,102.1,112.8,126,121.1,107.9,113.6,106.2
2005,50.5,148.2,125.6,63,67.6,172.9,109.4,99.2,112.1,114.8,113.8,110.7,111.9,103.6
2006,59.5,148.6,128,58.1,62.1,187.5,118.8,101.7,107.3,107.6,107.5,110.9,109.1,104.4
2007,68.7,146.2,128.3,57.3,61,183,130.7,105.3,101.7,104.9,103.7,113.5,108.6,106.7
2008,62.1,113.4,101.6,63.7,67.9,141.6,132.2,99.7,104.7,106.1,105.5,117.3,111.4,103.9
2009,63.4,77.9,74.6,72.9,82.1,99.4,99.1,84.4,101.8,92.8,95.7,105.9,100.8,90.2
2010,97.9,91.7,93.1,92.3,108.2,110.5,97.6,97.7,108.8,99.2,102.4,93.7,98.1,97.9
